Date,Temp,Hum,Light,Is_Raining,Will_Rain
2023-04-10 21:24,26300,71100,4095,NO,NO
2023-04-10 21:26,26200,71500,4095,NO,NO
2023-04-10 21:28,26200,71900,4095,NO,NO
2023-04-10 21:30,26200,71800,4095,NO,NO
2023-04-10 21:32,26200,71900,4095,NO,NO
2023-04-10 21:34,26200,72100,4095,NO,NO
2023-04-10 21:36,26200,71500,4095,NO,NO
2023-04-10 21:38,26200,71800,4095,NO,NO
2023-04-10 21:40,26200,72000,4095,NO,NO
2023-04-10 21:42,26200,72100,4095,NO,NO
2023-04-10 21:44,26200,72000,4095,NO,NO
2023-04-10 21:46,26200,72200,4095,NO,NO
2023-04-10 21:48,26200,72700,4095,NO,NO
2023-04-10 21:50,26200,72800,4095,NO,NO
2023-04-10 21:52,26200,73000,4095,NO,NO
2023-04-10 21:54,26200,73200,4095,NO,NO
2023-04-10 21:56,26200,73200,4095,NO,NO
2023-04-10 21:58,26200,72900,4095,NO,NO
2023-04-10 22:00,26200,73000,4095,NO,NO
2023-04-10 22:02,26100,73200,4095,NO,NO
2023-04-10 22:04,26100,73500,4095,NO,NO
2023-04-10 22:06,26100,73800,4095,NO,NO
2023-04-10 22:08,26100,74200,4095,NO,NO
2023-04-10 22:10,26100,74600,4095,NO,NO
2023-04-10 22:12,26000,74800,4095,NO,NO
2023-04-10 22:14,26000,75300,4095,NO,NO
2023-04-10 22:16,26000,75500,4095,NO,NO
2023-04-10 22:18,26000,75400,4095,NO,NO
2023-04-10 22:20,26000,75600,4095,NO,NO
2023-04-10 22:22,26000,75700,4095,NO,NO
2023-04-10 22:24,26000,75600,4095,NO,NO
2023-04-10 22:26,26000,75700,4095,NO,NO
2023-04-10 22:28,26000,75700,4095,NO,NO
2023-04-10 22:30,26000,75500,4095,NO,NO
2023-04-10 22:32,26000,75400,4095,NO,NO
2023-04-10 22:34,25900,75500,4095,NO,NO
2023-04-10 22:36,26000,75500,4095,NO,NO
2023-04-10 22:38,25900,75700,4095,NO,NO
2023-04-10 22:40,25900,75700,4095,NO,NO
2023-04-10 22:42,25900,75800,4095,NO,NO
2023-04-10 22:44,25900,75700,4095,NO,NO
2023-04-10 22:46,25900,76000,4095,NO,NO
2023-04-10 22:48,25900,76200,4095,NO,NO
2023-04-10 22:50,25900,76200,4095,NO,NO
2023-04-10 22:52,25900,76200,4095,NO,NO
2023-04-10 22:54,25900,76400,4095,NO,NO
2023-04-10 22:56,25900,76600,4095,NO,NO
2023-04-10 22:58,25900,76600,4095,NO,NO
2023-04-10 23:00,25900,76600,4095,NO,NO
2023-04-10 23:02,25900,76700,4095,NO,NO
2023-04-10 23:04,25900,76700,4095,NO,NO
2023-04-10 23:06,25800,76700,4095,NO,NO
2023-04-10 23:08,25800,76800,4095,NO,NO
2023-04-10 23:10,25800,76900,4095,NO,NO
2023-04-10 23:12,25800,77100,4095,NO,NO
2023-04-10 23:14,25800,77400,4095,NO,NO
2023-04-10 23:16,25800,77200,4095,NO,NO
2023-04-10 23:18,25800,77300,4095,NO,NO
2023-04-10 23:20,25800,77400,4095,NO,NO
2023-04-10 23:22,25800,77300,4095,NO,NO
2023-04-10 23:24,25800,76900,4095,NO,NO
2023-04-10 23:26,25800,76700,4095,NO,NO
2023-04-10 23:28,25700,76400,4095,NO,NO
2023-04-10 23:30,25700,76300,4095,NO,NO
2023-04-10 23:32,25600,75800,4095,NO,NO
2023-04-10 23:34,25600,75800,4095,NO,NO
2023-04-10 23:36,25600,75400,4095,NO,NO
2023-04-10 23:38,25600,75500,4095,NO,NO
2023-04-10 23:40,25500,75300,4095,NO,NO
2023-04-10 23:42,25500,75100,4095,NO,NO
2023-04-10 23:44,25500,75400,4095,NO,NO
2023-04-10 23:46,25500,75700,4095,NO,NO
2023-04-10 23:48,25600,75800,4095,NO,NO
2023-04-10 23:50,25500,75600,4095,NO,NO
2023-04-10 23:52,25500,75200,4095,NO,NO
2023-04-10 23:54,25500,74800,4095,NO,NO
2023-04-10 23:56,25500,74700,4095,NO,NO
2023-04-10 23:58,25500,74900,4095,NO,NO
2023-04-11 00:00,25500,75200,4095,NO,NO
2023-04-11 00:02,25500,75300,4095,NO,NO
2023-04-11 00:04,25500,75700,4095,NO,NO
2023-04-11 00:06,25500,75700,4095,NO,NO
2023-04-11 00:08,25500,75600,4095,NO,NO
2023-04-11 00:10,25500,75800,4095,NO,NO
2023-04-11 00:12,25500,75800,4095,NO,NO
2023-04-11 00:14,25500,76100,4095,NO,NO
2023-04-11 00:16,25500,76300,4095,NO,NO
2023-04-11 00:18,25500,76300,4095,NO,NO
2023-04-11 00:20,25500,76600,4095,NO,NO
2023-04-11 00:22,25500,76500,4095,NO,NO
2023-04-11 00:24,25500,76500,4095,NO,NO
2023-04-11 00:26,25500,76700,4095,NO,NO
2023-04-11 00:28,25500,77000,4095,NO,NO
2023-04-11 00:30,25500,77100,4095,NO,NO
2023-04-11 00:32,25500,76900,4095,NO,NO
2023-04-11 00:34,25500,76800,4095,NO,NO
2023-04-11 00:36,25500,76900,4095,NO,NO
2023-04-11 00:38,25500,76900,4095,NO,NO
2023-04-11 00:40,25500,77100,4095,NO,NO
2023-04-11 00:42,25500,76900,4095,NO,NO
2023-04-11 00:44,25500,76800,4095,NO,NO
2023-04-11 00:46,25500,76500,4095,NO,NO
2023-04-11 00:48,25400,76200,4095,NO,NO
2023-04-11 00:50,25400,76200,4095,NO,NO
2023-04-11 00:52,25400,76400,4095,NO,NO
2023-04-11 00:54,25400,76400,4095,NO,NO
2023-04-11 00:56,25400,76200,4095,NO,NO
2023-04-11 00:58,25400,75900,4095,NO,NO
2023-04-11 01:00,25300,75500,4095,NO,NO
2023-04-11 01:02,25300,75100,4095,NO,NO
2023-04-11 01:04,25200,75300,4095,NO,NO
2023-04-11 01:06,25300,75700,4095,NO,NO
2023-04-11 01:08,25300,75900,4095,NO,NO
2023-04-11 01:10,25300,75900,4095,NO,NO
2023-04-11 01:12,25300,76000,4095,NO,NO
2023-04-11 01:14,25300,76200,4095,NO,NO
2023-04-11 01:16,25300,76200,4095,NO,NO
2023-04-11 01:18,25300,76200,4095,NO,NO
2023-04-11 01:20,25300,76400,4095,NO,NO
2023-04-11 01:22,25300,76600,4095,NO,NO
2023-04-11 01:24,25300,76600,4095,NO,NO
2023-04-11 01:26,25300,76600,4095,NO,NO
2023-04-11 01:28,25300,76600,4095,NO,NO
2023-04-11 01:30,25300,76600,4095,NO,NO
2023-04-11 01:32,25300,76800,4095,NO,NO
2023-04-11 01:34,25300,76800,4095,NO,NO
2023-04-11 01:36,25200,76800,4095,NO,NO
2023-04-11 01:38,25200,77000,4095,NO,NO
2023-04-11 01:40,25300,77000,4095,NO,NO
2023-04-11 01:42,25300,77000,4095,NO,NO
2023-04-11 01:44,25300,77000,4095,NO,NO
2023-04-11 01:46,25200,77000,4095,NO,NO
2023-04-11 01:48,25200,77000,4095,NO,NO
2023-04-11 01:50,25200,77100,4095,NO,NO
2023-04-11 01:52,25200,77200,4095,NO,NO
2023-04-11 01:54,25200,77300,4095,NO,NO
2023-04-11 01:56,25200,77300,4095,NO,NO
2023-04-11 01:58,25200,77300,4095,NO,NO
2023-04-11 02:00,25200,77400,4095,NO,NO
2023-04-11 02:02,25200,77600,4095,NO,NO
2023-04-11 02:04,25200,77700,4095,NO,NO
2023-04-11 02:06,25200,77800,4095,NO,NO
2023-04-11 02:08,25200,78000,4095,NO,NO
2023-04-11 02:10,25200,77900,4095,NO,NO
2023-04-11 02:12,25200,77900,4095,NO,NO
2023-04-11 02:14,25200,78100,4095,NO,NO
2023-04-11 02:16,25100,78400,4095,NO,NO
2023-04-11 02:18,25200,78300,4095,NO,NO
2023-04-11 02:20,25200,78400,4095,NO,NO
2023-04-11 02:22,25200,78700,4095,NO,NO
2023-04-11 02:24,25200,78800,4095,NO,NO
2023-04-11 02:26,25200,78900,4095,NO,NO
2023-04-11 02:28,25200,78900,4095,NO,NO
2023-04-11 02:30,25200,78900,4095,NO,NO
2023-04-11 02:32,25200,78900,4095,NO,NO
2023-04-11 02:34,25200,78800,4095,NO,NO
2023-04-11 02:36,25200,79200,4095,NO,NO
2023-04-11 02:38,25200,79200,4095,NO,NO
2023-04-11 02:40,25200,79300,4095,NO,NO
2023-04-11 02:42,25200,79500,4095,NO,NO
2023-04-11 02:44,25300,79400,4095,NO,NO
2023-04-11 02:46,25200,79600,4095,NO,NO
2023-04-11 02:48,25200,79900,4095,NO,NO
2023-04-11 02:50,25200,80200,4095,NO,NO
2023-04-11 02:52,25200,80000,4095,NO,NO
2023-04-11 02:54,25200,80000,4095,NO,NO
2023-04-11 02:56,25200,80200,4095,NO,NO
2023-04-11 02:58,25200,80200,4095,NO,NO
2023-04-11 03:00,25200,80500,4095,NO,NO
2023-04-11 03:02,25200,80700,4095,NO,NO
2023-04-11 03:04,25200,81000,4095,NO,NO
2023-04-11 03:06,25200,81200,4095,NO,NO
2023-04-11 03:08,25200,81500,4095,NO,NO
2023-04-11 03:10,25200,81500,4095,NO,NO
2023-04-11 03:12,25200,81700,4095,NO,NO
2023-04-11 03:14,25200,81500,4095,NO,NO
2023-04-11 03:16,25200,81700,4095,NO,NO
2023-04-11 03:18,25200,81700,4095,NO,NO
2023-04-11 03:20,25200,81900,4095,NO,NO
2023-04-11 03:22,25200,82200,4095,NO,NO
2023-04-11 03:24,25200,82000,4095,NO,NO
2023-04-11 03:26,25200,82000,4095,NO,NO
2023-04-11 03:28,25200,82000,4095,NO,NO
2023-04-11 03:30,25200,81900,4095,NO,NO
2023-04-11 03:32,25100,81900,4095,NO,NO
2023-04-11 03:34,25100,82000,4095,NO,NO
2023-04-11 03:36,25100,81900,4095,NO,NO
2023-04-11 03:38,25100,82000,4095,NO,NO
2023-04-11 03:40,25200,82200,4095,NO,NO
2023-04-11 03:42,25200,82200,4095,NO,NO
2023-04-11 03:44,25200,82000,4095,NO,NO
2023-04-11 03:46,25200,82000,4032,NO,NO
2023-04-11 03:48,25200,82000,4043,NO,NO
2023-04-11 03:50,25200,82200,4051,NO,NO
2023-04-11 03:52,25200,82000,4053,NO,NO
2023-04-11 03:54,25200,82000,4051,NO,NO
2023-04-11 03:56,25200,82000,4048,NO,NO
2023-04-11 03:58,25200,82000,4060,NO,NO
2023-04-11 04:00,25100,81900,4054,NO,NO
2023-04-11 04:02,25100,82000,4059,NO,NO
2023-04-11 04:04,25100,82000,4050,NO,NO
2023-04-11 04:06,25100,81700,4079,NO,NO
2023-04-11 04:08,25100,81500,4064,NO,NO
2023-04-11 04:10,25100,81500,4058,NO,NO
2023-04-11 04:12,25100,81500,4058,NO,NO
2023-04-11 04:14,25100,81700,4065,NO,NO
2023-04-11 04:16,25100,81700,4051,NO,NO
2023-04-11 04:18,25100,81700,4058,NO,NO
2023-04-11 04:20,25100,81700,4075,NO,NO
2023-04-11 04:22,25100,81700,4052,NO,NO
2023-04-11 04:24,25100,81700,4063,NO,NO
2023-04-11 04:26,25100,81500,4042,NO,NO
2023-04-11 04:28,25100,81500,4062,NO,NO
2023-04-11 04:30,25100,81700,4038,NO,NO
2023-04-11 04:32,25100,81500,4048,NO,NO
2023-04-11 04:34,25100,81500,4034,NO,NO
2023-04-11 04:36,25000,81500,4006,NO,NO
2023-04-11 04:38,25000,81400,4010,NO,NO
2023-04-11 04:40,25000,81400,3939,NO,NO
2023-04-11 04:42,25000,81200,3897,NO,NO
2023-04-11 04:44,25000,81000,3855,NO,NO
2023-04-11 04:46,25000,81200,3777,NO,NO
2023-04-11 04:48,25000,81400,3683,NO,NO
2023-04-11 04:50,25000,81000,3571,NO,NO
2023-04-11 04:52,24900,81200,3459,NO,NO
2023-04-11 04:54,25000,81200,3311,NO,NO
2023-04-11 04:56,24900,81000,3154,NO,NO
2023-04-11 04:58,25000,81200,2973,NO,NO
2023-04-11 05:00,25000,81000,2807,NO,NO
2023-04-11 05:02,25000,81400,2658,NO,NO
2023-04-11 05:04,25000,81500,2524,NO,NO
2023-04-11 05:06,25000,81400,2413,NO,NO
2023-04-11 05:08,25000,81400,2315,NO,NO
2023-04-11 05:10,25000,81500,2197,NO,NO
2023-04-11 05:12,25000,81200,2091,NO,NO
2023-04-11 05:14,25000,81200,1989,NO,NO
2023-04-11 05:16,25000,81000,1887,NO,NO
2023-04-11 05:18,25000,80900,1815,NO,NO
2023-04-11 05:20,25100,81000,2867,NO,NO
2023-04-11 05:22,25400,81900,2318,NO,NO
2023-04-11 05:24,26200,80800,2258,NO,NO
2023-04-11 05:26,26300,78100,2219,NO,NO
2023-04-11 05:28,26200,78400,2176,NO,NO
2023-04-11 05:30,26000,78600,2105,NO,NO
2023-04-11 05:32,26000,78900,2058,NO,NO
2023-04-11 05:34,25900,79100,1997,NO,NO
2023-04-11 05:36,26000,79000,1954,NO,NO
2023-04-11 05:38,26000,79200,1930,NO,NO
2023-04-11 05:40,25900,79200,1886,NO,NO
2023-04-11 05:42,25900,79400,1850,NO,NO
2023-04-11 05:44,25800,79600,1826,NO,NO
2023-04-11 05:46,25800,76000,1797,NO,NO
2023-04-11 05:48,25800,80200,1786,NO,NO
2023-04-11 05:50,25800,79900,1792,NO,NO
2023-04-11 05:52,25800,79900,1751,NO,NO
2023-04-11 05:54,25900,79600,1744,NO,NO
2023-04-11 05:56,25800,79600,1765,NO,NO
2023-04-11 05:58,25900,79500,1775,NO,NO
2023-04-11 06:00,25900,79600,1760,NO,NO
2023-04-11 06:02,25900,79600,1771,NO,NO
2023-04-11 06:04,25900,79900,1762,NO,NO
2023-04-11 06:06,25900,79600,1727,NO,NO
2023-04-11 06:08,25900,79700,1747,NO,NO
